IDDOC,LINENO,SP5179,SP8035,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916
"X6KM",1,"I","0",9625,778,1867.2,0.0,0.0,0.01,1867.21,0,0
"X6KQ",1,"2X","0",5790,395,857.15,87.0,0.0,1000.0,1944.15,0,0
"MOWO",1,"2Z","0",4458,594,1485.0,0.0,0.0,300.0,1785.0,0,0
"Q5T7",1,"10","0",43964,633,1835.7,0.0,0.0,0.01,1835.71,0,0
"MOYS",1,"23","0",32566,644,1223.6,51.0,0.0,0.01,1274.61,0,0
"MOYT",1,"1W","0",35192,681,1293.9,0.0,54.0,0.01,1347.91,0,0
"MOYU",1,"24","0",34308,729,1385.1,0.0,58.0,0.01,1443.11,0,0
"NA64",1,"33","0",4966,0,0.0,0.0,0.0,0.01,0.01,0,0
"NA67",1,"C","0",75706,0,0.0,0.0,0.0,0.01,0.01,0,0
"O7AG",1,"2B","0",25765,545,1689.5,0.0,0.0,0.01,1689.51,0,0
"QKSP",1,"1Y","0",48525,871,1881.36,0.0,0.0,0.01,1881.37,0,0
"QKT3",1,"V","0",37304,397,893.25,0.0,0.0,0.1,893.35,0,0
"VA14",1,"2O","0",17048,554,1578.9,0.0,0.0,0.01,1578.91,0,0
"NGUK",1,"39","0",5014,892,2498.0,0.0,0.0,0.01,2498.01,0,0
"NGUR",1,"3C","0",5321,886,2605.0,0.0,0.0,0.01,2605.01,0,0
"QKU3",1,"3H","0",132918,1228,2910.36,0.0,0.0,0.01,2910.37,0,0
"NGVD",1,"38","0",1023,1023,2864.4,0.0,0.0,0.01,2864.41,0,0
"NGW8",1,"2J","0",19290,600,1704.0,137.0,0.0,70.0,1911.0,0,0
"NGXB",1,"1E","0",49359,627,1285.35,0.0,620.0,0.01,1905.36,0,0
"QKVL",1,"2T","0",22556,786,1768.5,0.0,0.0,0.01,1768.51,0,0
"QKVX",1,"11","0",9100,700,1491.0,28.0,0.0,0.01,1519.01,0,0
"U44O",1,"2W","0",31095,655,1473.75,0.0,0.0,0.01,1473.76,0,0
"NT4I",1,"1M","0",24734,1184,2569.28,0.0,0.0,0.01,2569.29,0,0
"U4A4",1,"1P","0",19482,614,1228.0,0.0,0.0,500.0,1728.0,0,0
"OEPL",1,"1","0",69554,475,1615.0,0.0,0.0,0.01,1615.01,0,0
"QL1R",1,"1Z","0",71618,470,974.78,0.0,0.0,0.1,974.88,0,0
"QL1Y",1,"32","0",39993,753,2670.14,0.0,0.0,0.01,2670.15,0,0
"OEPQ",1,"25","0",76835,477,965.93,0.0,0.0,0.01,965.94,0,0
"QL22",1,"1L","0",28026,632,1516.8,133.0,0.0,0.01,1649.81,0,0
"Z4Y7",1,"1A","0",10430,1436,4092.6,0.0,0.0,0.01,4092.61,0,0
"QL2V",1,"K","0",26706,822,1972.8,0.0,0.0,0.01,1972.81,0,0
"QL31",1,"3L","0",34298,777,1841.49,0.0,0.0,0.01,1841.5,0,0
"RQPO",1,"1T","0",33053,610,1586.0,0.0,0.0,0.01,1586.01,0,0
"NTN2",1,"1N","0",37994,648,1555.2,0.0,0.0,0.01,1555.21,0,0
"OERH",1,"9","0",33312,550,1512.5,0.0,0.0,100.0,1612.5,0,0
"NTQS",1,"3I","0",2206,835,1670.0,0.0,15.0,800.0,2485.0,0,0
"NTQT",1,"F","0",35348,694,1561.5,0.0,0.0,0.01,1561.51,0,0
"NTQU",1,"M","0",7934,554,1385.0,0.0,0.0,500.0,1885.0,0,0
"NTQV",1,"15","0",16172,690,1449.0,0.0,0.0,1000.0,2449.0,0,0
"NTQX",1,"O","0",29601,689,1550.25,177.0,0.0,0.01,1727.26,0,0
"NA27",1,"2I","0",73466,700,1414.0,0.0,0.0,0.01,1414.01,0,0
"VACA",1,"36","0",4312,639,1597.5,0.0,0.0,600.0,2197.5,0,0
"NTQY",1,"Q","0",36034,666,1578.42,0.0,0.0,500.0,2078.42,0,0
"VACX",1,"1F","0",82094,661,1322.0,0.0,19.0,0.01,1341.01,0,0
"X07G",1,"Y","0",1410,821,1756.94,0.0,0.0,0.01,1756.95,0,0
"X6KF",1,"2F","0",45504,653,1789.22,0.0,256.0,685.0,2730.22,0,0
"NGWB",1,"2K","0",23138,814,1628.0,208.0,0.0,0.01,1836.01,0,0
"MOVZ",1,"T","0",56151,546,1583.4,317.0,0.0,0.01,1900.41,0,0
"MOWA",1,"W","0",27954,630,1449.0,568.0,0.0,150.0,2167.0,0,0
"MOWM",1,"17","0",45276,374,828.78,0.0,8.0,0.01,836.79,0,0
"MOWN",1,"2","0",12993,723,1446.0,0.0,0.0,1500.0,2946.0,0,0
"NTN8",1,"H","0",12416,344,1197.12,1174.0,0.0,0.01,2371.13,0,0
"NA5T",1,"31","0",11269,1013,2005.74,244.0,0.0,0.01,2249.75,0,0
"NA5U",1,"19","0",21094,643,1414.6,0.0,0.0,0.01,1414.61,0,0
"U103",1,"1K","0",31496,807,2404.86,0.0,0.0,0.01,2404.87,0,0
"NA5V",1,"18","0",13835,1134,2245.32,275.0,0.0,0.01,2520.33,0,0
"O7A7",1,"Z","0",28419,509,1018.0,17.0,0.0,800.0,1835.0,0,0
"NA5W",1,"1C","0",2048,1216,2407.68,209.0,0.0,0.01,2616.69,0,0
"NA5X",1,"1D","0",43566,772,1698.4,0.0,0.0,0.01,1698.41,0,0
"MOXI",1,"B","0",59170,470,940.0,0.0,144.0,0.01,1084.01,0,0
"NA5Y",1,"3E","0",1075,894,1859.52,116.0,0.0,0.01,1975.53,0,0
"U105",1,"29","0",1593,480,1080.0,0.0,0.0,0.01,1080.01,0,0
"Q5TB",1,"3D","0",1371,1371,3016.2,0.0,0.0,0.01,3016.21,0,0
"U10A",1,"2Y","0",36768,601,1442.4,0.0,0.0,500.0,1942.4,0,0
"O7AC",1,"L","0",22691,683,1639.2,0.0,0.0,0.01,1639.21,0,0
"SZWK",1,"V","0",37304,397,857.52,0.0,35.47,0.01,893.0,0,0
"MOYX",1,"1V","0",43879,544,1044.48,0.0,33.0,0.01,1077.49,0,0
"SZWQ",1,"3H","0",132918,1228,2910.36,0.0,0.0,0.01,2910.37,0,0
"U10I",1,"22","0",35400,584,1460.0,0.0,0.0,0.01,1460.01,0,0
"SZX2",1,"2T","0",22556,786,1862.82,0.0,0.0,0.01,1862.83,0,0
"ZKIO",1,"N","0",22879,753,1822.26,0.0,0.0,60.0,1882.26,0,0
"OEMB",1,"1X","0",24803,638,1850.2,0.0,0.0,0.01,1850.21,0,0
"NGXP",1,"1O","0",31446,350,875.0,175.0,0.0,0.01,1050.01,0,0
"NGXW",1,"S","0",25804,837,2092.5,101.0,0.0,0.01,2193.51,0,0
"NGY1",1,"X","0",51725,572,1258.4,272.0,0.0,0.01,1530.41,0,0
"NH0L",1,"14","0",44192,724,1810.0,200.0,0.0,0.01,2010.01,0,0
"NH3P",1,"2C","0",39890,502,1255.0,945.0,0.0,0.01,2200.01,0,0
"NH3Y",1,"2P","0",11471,452,994.4,362.0,0.0,0.01,1356.41,0,0
"NH49",1,"1B","0",19250,829,2362.65,0.0,0.0,150.0,2512.65,0,0
"RQP4",1,"1U","0",0,577,1500.2,0.0,0.0,0.01,1500.21,0,0
"NH5O",1,"8","0",53073,825,1650.0,0.0,0.0,0.01,1650.01,0,0
"NH5T",1,"7","0",37007,486,972.0,0.0,0.0,0.01,972.01,0,0
"X6KN",1,"I","0",10286,661,1652.5,0.0,0.0,0.01,1652.51,0,0
"X6KR",1,"2X","0",6240,450,976.5,99.0,0.0,1000.0,2075.5,0,0
"U0ZW",1,"1G","0",11574,713,1753.98,0.0,0.0,0.01,1753.99,0,0
"TDT3",1,"30","0",51019,931,1899.24,0.0,0.0,0.01,1899.25,0,0
"Q5T8",1,"10","0",44597,633,1835.7,0.0,0.0,0.01,1835.71,0,0
"NA5Z",1,"23","0",33265,699,1384.02,0.0,0.0,0.01,1384.03,0,0
"NA60",1,"1W","0",36050,788,1560.24,0.0,0.0,0.01,1560.25,0,0
"NA61",1,"24","0",35186,728,1441.44,0.0,0.0,0.01,1441.45,0,0
"NA62",1,"2Z","0",5043,585,1462.5,0.0,0.0,300.0,1762.5,0,0
"NA65",1,"33","0",5778,812,2314.2,0.0,0.0,0.01,2314.21,0,0
"NA68",1,"C","0",76146,440,1254.0,262.0,0.0,0.01,1516.01,0,0
"NA6A",1,"3A","0",0,463,1389.0,0.0,0.0,0.01,1389.01,0,0
"NSVN",1,"1E","0",50093,734,1570.76,0.0,642.0,0.01,2212.77,0,0
"NSVV",1,"2J","0",19838,548,1556.32,125.0,750.0,70.0,2501.32,0,0
"NSVZ",1,"2K","0",23924,786,1572.0,201.0,750.0,0.01,2523.01,0,0
"NSW3",1,"2","0",14295,1302,2578.0,0.0,0.0,1500.0,4078.0,0,0
"NSWA",1,"17","0",45829,553,1225.45,0.0,13.0,0.01,1238.46,0,0
"NSWB",1,"39","0",6010,1316,3684.8,0.0,0.0,0.01,3684.81,0,0
"NSWD",1,"3C","0",5922,694,2043.0,0.0,0.0,0.01,2043.01,0,0
"NSWH",1,"38","0",1628,1000,2800.0,0.0,0.0,0.01,2800.01,0,0
"NSWP",1,"40","0",87,85,238.0,0.0,0.0,0.0,238.0,0,0
"VA16",1,"2O","0",17752,704,2112.0,0.0,300.0,0.01,2412.01,0,0
"OELV",1,"T","0",57040,889,2933.7,0.0,32.0,0.01,2965.71,0,0
"U449",1,"25","0",77372,537,1208.25,0.0,0.0,0.01,1208.26,0,0
"U44E",1,"3L","0",35071,773,1832.01,0.0,0.0,0.01,1832.02,0,0
"U44Q",1,"2W","0",31708,613,1379.25,0.0,0.0,0.01,1379.26,0,0
"U4A6",1,"1P","0",20355,863,1726.0,0.0,0.0,500.0,2226.0,0,0
"U4AG",1,"K","0",27640,934,2241.6,0.0,0.0,0.01,2241.61,0,0
"OEPN",1,"1","0",69984,430,1462.0,0.0,0.0,0.01,1462.01,0,0
"Q5TC",1,"3D","0",2970,1549,3407.8,0.0,0.0,0.01,3407.81,0,0
"U4AP",1,"1L","0",28664,638,1531.2,77.0,0.0,0.01,1608.21,0,0
"U4AW",1,"32","0",40747,754,2673.68,0.0,0.0,0.01,2673.69,0,0
"Z4Y8",1,"1A","0",10997,567,1615.95,0.0,0.0,0.01,1615.96,0,0
"U4B6",1,"11","0",9800,700,1505.0,0.0,15.0,0.01,1520.01,0,0
"OERI",1,"9","0",33793,481,1322.75,0.0,0.0,100.0,1422.75,0,0
"RQPT",1,"1T","0",33630,577,1500.2,0.0,0.0,0.01,1500.21,0,0
"NTN4",1,"W","0",28824,870,2523.0,204.0,29.0,150.0,2906.0,0,0
"Z51F",1,"F","0",36285,937,2108.25,0.0,0.0,0.01,2108.26,0,0
"VACD",1,"36","0",4932,620,1550.0,0.0,0.0,600.0,2150.0,0,0
"VADK",1,"1F","0",82887,793,1586.0,0.0,16.0,0.01,1602.01,0,0
"X06X",1,"M","0",8529,595,1487.5,0.0,0.0,500.0,1987.5,0,0
"X0A4",1,"Y","0",2463,1053,2253.42,71.0,1287.0,0.01,3611.43,0,0
"X6K5",1,"Q","0",36681,647,1533.39,0.0,0.0,500.0,2033.39,0,0
"X6KG",1,"2F","0",46234,730,2000.2,0.0,338.0,685.0,3023.2,0,0
"TDSZ",1,"1M","0",26066,1332,2890.44,0.0,0.0,0.01,2890.45,0,0
"U0ZU",1,"O","0",30341,740,1665.0,191.0,0.0,0.01,1856.01,0,0
"TDT1",1,"1N","0",38690,696,1670.4,0.0,0.0,0.01,1670.41,0,0
"O7A5",1,"15","0",16906,734,1541.4,56.68,52.0,1000.0,2650.08,0,0
"TDT5",1,"H","0",12983,735,2682.75,0.0,0.0,0.01,2682.76,0,0
"O7A6",1,"3I","0",3051,845,1690.0,24.0,0.0,800.0,2514.0,0,0
"U104",1,"1K","0",32386,890,2652.2,0.0,0.0,0.01,2652.21,0,0
"O7A8",1,"Z","0",28985,566,1132.0,17.0,0.0,800.0,1949.0,0,0
"U106",1,"29","0",2007,414,931.5,0.0,0.0,0.01,931.51,0,0
"U108",1,"L","0",23412,721,1730.4,0.0,0.0,0.01,1730.41,0,0
"SZWH",1,"1Y","0",49456,931,2010.96,20.0,0.0,0.01,2030.97,0,0
"U10B",1,"2Y","0",37436,668,1603.2,0.0,0.0,500.0,2103.2,0,0
"SZWL",1,"V","0",0,500,1080.0,0.0,0.0,0.01,1080.01,0,0
"U10E",1,"2B","0",26404,639,1980.9,0.0,0.0,0.01,1980.91,0,0
"XJTZ",1,"3H","0",134188,1050,2488.5,0.0,0.0,0.01,2488.51,0,0
"WRM3",1,"2I","0",77250,650,1332.5,0.0,0.0,0.01,1332.51,0,0
"U10J",1,"22","0",36026,626,1565.0,0.0,0.0,0.01,1565.01,0,0
"SZX3",1,"2T","0",23284,728,1725.36,0.0,0.0,0.01,1725.37,0,0
"WRM8",1,"31","0",12395,1126,2308.3,231.0,0.0,0.01,2539.31,0,0
"WRMG",1,"19","0",22084,770,1580.19,0.0,35.0,0.01,1615.2,0,0
"WRMH",1,"18","0",14952,1117,2289.85,0.0,229.0,0.01,2518.86,0,0
"WRMI",1,"1C","0",3186,1138,2332.9,0.0,115.0,0.01,2447.91,0,0
"WRMQ",1,"1D","0",44210,644,1429.68,0.0,18.0,0.01,1447.69,0,0
"WRMW",1,"3E","0",1949,866,1905.2,0.0,0.0,0.01,1905.21,0,0
"WRND",1,"1V","0",44960,1081,2075.52,0.0,0.0,0.01,2075.53,0,0
"ZKIP",1,"N","0",23632,753,1822.26,0.0,0.0,60.0,1882.26,0,0
"WRNM",1,"B","0",59750,580,1276.0,0.0,232.0,0.01,1508.01,0,0
"YRL6",1,"25","0",78020,648,1587.6,0.0,0.0,0.01,1587.61,0,0
"XJTV",1,"11","0",10600,800,1869.6,0.0,19.0,0.01,1888.61,0,0
"O7RF",1,"2Z","0",5698,655,1735.75,132.5,43.0,300.0,2211.25,0,0
"OI56",1,"33","0",6590,812,2314.2,0.0,0.0,0.01,2314.21,0,0
"OI58",1,"C","0",76629,756,2154.6,0.0,0.0,0.01,2154.61,0,0
"OI5A",1,"3A","0",12806,804,2412.0,0.0,0.0,0.01,2412.01,0,0
"RQSS",1,"8","0",53755,682,1364.0,0.0,0.0,0.01,1364.01,0,0
"RQU4",1,"7","0",59707,801,1602.0,71.0,0.0,0.01,1673.01,0,0
"RQUA",1,"1H","0",29963,442,945.88,71.0,0.0,0.01,1016.89,0,0
"RQUZ",1,"1O","0",32013,567,1701.0,0.0,0.0,0.01,1701.01,0,0
"RQV5",1,"S","0",26826,1022,2759.4,0.0,0.0,0.01,2759.41,0,0
"RQVJ",1,"X","0",52540,815,2200.5,0.0,0.0,0.01,2200.51,0,0
"RQXS",1,"14","0",45009,817,2042.5,0.0,26.0,200.0,2268.5,0,0
"RQY6",1,"2C","0",40488,1100,2750.0,0.0,0.0,0.01,2750.01,0,0
"RQY8",1,"2P","0",12016,545,1635.0,0.0,0.0,0.01,1635.01,0,0
"RQYL",1,"1B","0",19946,696,1983.6,0.0,0.0,150.0,2133.6,0,0
"X6KI",1,"37","0",5,0,0.0,0.0,0.0,0.1,0.1,0,0
"X6KO",1,"I","0",10948,662,1655.0,0.0,0.0,0.01,1655.01,0,0
"X6KS",1,"2X","0",6855,615,1334.55,135.0,0.0,1000.0,2469.55,0,0
"TDT0",1,"1M","0",26706,640,1388.8,0.0,0.0,0.01,1388.81,0,0
"U0ZX",1,"1G","0",12184,610,1500.6,0.0,0.0,0.01,1500.61,0,0
"TDT4",1,"30","0",51764,745,1519.8,0.0,0.0,0.01,1519.81,0,0
"Q5T9",1,"10","0",45208,611,1949.09,0.0,0.0,0.01,1949.1,0,0
"WRLL",1,"1W","0",36961,840,1806.0,0.0,0.0,0.01,1806.01,0,0
"WRLH",1,"24","0",36091,785,1687.75,0.0,0.0,0.01,1687.76,0,0
"WRLO",1,"23","0",34163,899,1932.85,0.0,0.0,0.01,1932.86,0,0
"Q5TI",1,"3Z","0",13706,821,2463.0,0.0,0.0,0.01,2463.01,0,0
"U10H",1,"1X","0",25380,577,1673.3,0.0,0.0,0.01,1673.31,0,0
"XJU0",1,"3H","0",135512,1065,2524.05,0.0,0.0,0.01,2524.06,0,0
"RQF3",1,"38","0",2828,1200,3480.0,0.0,0.0,0.01,3480.01,0,0
"RQFF",1,"39","0",6890,1200,3480.0,0.0,0.0,0.01,3480.01,0,0
"RQG3",1,"40","0",1387,1300,3770.0,0.0,0.0,0.01,3770.01,0,0
"RQGB",1,"3C","0",7029,1107,3210.3,270.0,0.0,0.01,3480.31,0,0
"RQI5",1,"17","0",46413,584,1424.96,0.0,17.0,0.01,1441.97,0,0
"VA17",1,"2O","0",18921,1169,3507.0,0.0,0.0,0.01,3507.01,0,0
"YRG7",1,"1M","0",27451,1385,3393.25,0.0,0.0,0.01,3393.26,0,0
"U44S",1,"2W","0",32536,828,1863.0,0.0,0.0,0.01,1863.01,0,0
"U4A8",1,"1P","0",21287,932,1994.48,0.0,0.0,500.0,2494.48,0,0
"U4AI",1,"K","0",28752,1112,2668.8,0.0,250.0,0.01,2918.81,0,0
"U4AS",1,"1L","0",29440,776,1862.4,93.0,0.0,0.01,1955.41,0,0
"X029",1,"E","0",8282,0,0.0,0.0,0.0,0.01,0.01,0,0
"U4AX",1,"32","0",41785,1038,3680.75,0.0,0.0,0.01,3680.76,0,0
"RQOK",1,"3I","0",4128,1077,2315.55,32.0,24.0,1000.0,3371.55,0,0
"RQP6",1,"1U","0",1577,1000,2800.0,0.0,0.0,0.01,2800.01,0,0
"X02G",1,"J","0",95800,1000,2200.0,0.0,0.0,0.01,2200.01,0,0
"RQPU",1,"1T","0",34469,839,2349.2,0.0,0.0,0.01,2349.21,0,0
"Z51H",1,"F","0",37219,934,2288.3,0.0,0.0,0.01,2288.31,0,0
"RQSL",1,"W","0",29734,910,2639.0,28.0,0.0,150.0,2817.0,0,0
"VACH",1,"36","0",5716,784,1960.0,0.0,0.0,600.0,2560.0,0,0
"10IGJ",1,"N","0",25338,953,2306.26,0.0,23.0,60.0,2389.26,0,0
"TDT6",1,"H","0",13797,959,3701.74,0.0,0.0,0.01,3701.75,0,0
"X06Z",1,"M","0",9450,921,2302.5,0.0,0.0,500.0,2802.5,0,0
"U4B0",1,"1Z","0",72370,752,1609.28,0.0,0.0,0.1,1609.38,0,0
"10J1W",1,"1Z","0",73497,1127,3133.06,0.0,0.0,0.1,3133.16,0,0
"X0A7",1,"Y","0",3796,1333,2852.62,94.0,1462.0,0.01,4408.63,0,0
