IDDOC,LINENO,SP5179,SP8035,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916
"1BMEW",1,"39","0",11019,1419,4257.0,0.0,0.0,0.01,4257.01,0,0
"Z4YM",1,"O","0",32434,610,1616.5,186.0,0.0,0.01,1802.51,0,0
"Z4YX",1,"29","0",4307,786,1925.7,0.0,0.0,0.01,1925.71,0,0
"1AZPK",1,"J","0",98677,1770,4053.3,0.0,0.0,0.01,4053.31,0,0
"1BMC1",1,"V","0",3695,1070,2610.8,0.0,0.0,0.1,2610.9,0,0
"10GMF",1,"L","0",26478,1023,2455.2,0.0,1000.0,0.01,3455.21,0,0
"18DBB",1,"F","0",38548,1329,3256.05,0.0,0.0,0.01,3256.06,0,0
"10GMH",1,"T","0",59930,1024,3379.2,0.0,0.0,0.01,3379.21,0,0
"10GMJ",1,"W","0",31956,1319,3825.1,0.0,40.0,150.0,4015.1,0,0
"10YY9",1,"32","0",44156,1142,4049.53,0.0,0.0,0.01,4049.54,0,0
"10YYC",1,"Q","0",39529,975,2310.75,0.0,0.0,500.0,2810.75,0,0
"10YYF",1,"2Y","0",1207,688,1788.8,0.0,0.0,500.0,2288.8,0,0
"10YYM",1,"H","0",15318,949,3753.3,0.0,0.0,0.01,3753.31,0,0
"Z52H",1,"1U","0",3748,1071,2998.8,0.0,0.0,0.01,2998.81,0,0
"1BMDB",1,"11","0",12100,700,1694.0,0.0,17.09,0.01,1711.1,0,0
"10J07",1,"1N","0",41335,935,2468.4,0.0,0.0,0.01,2468.41,0,0
"10J1Y",1,"1Z","0",75344,960,2668.8,0.0,0.0,0.1,2668.9,0,0
"1BACR",1,"Y","0",6186,1179,2699.91,94.08,0.0,0.01,2794.0,0,0
"18P1G",1,"36","0",7530,863,2157.5,0.0,600.0,0.01,2757.51,0,0
"10JVV",1,"2I","0",91904,1000,2250.0,0.0,0.0,0.01,2250.01,0,0
"10JVW",1,"31","0",16151,1494,3361.5,582.0,0.0,0.01,3943.51,0,0
"10JVX",1,"19","0",25881,1000,2420.0,0.0,0.0,0.01,2420.01,0,0
"10JVY",1,"18","0",18241,1123,2526.75,252.0,0.0,0.01,2778.76,0,0
"10JVZ",1,"1C","0",7257,1349,3048.74,152.0,0.0,0.01,3200.75,0,0
"10JW0",1,"1D","0",47095,862,2290.33,0.0,0.0,0.01,2290.34,0,0
"10JW1",1,"3E","0",5729,1466,3298.5,328.0,0.0,0.01,3626.51,0,0
"10JW2",1,"1V","0",49047,703,1553.63,0.0,0.0,0.01,1553.64,0,0
"10JW3",1,"1F","0",86080,1080,3412.8,90.0,0.0,0.01,3502.81,0,0
"1AYOW",1,"37","0",3064,971,2913.0,138.0,0.0,0.01,3051.01,0,0
"1BM9A",1,"1","0",1943,171,581.4,0.0,0.0,0.01,581.41,0,0
"1AYP5",1,"1G","0",15070,615,1512.9,0.0,0.0,0.01,1512.91,0,0
"19PXV",1,"1B","0",23364,1042,3178.1,0.0,150.0,0.01,3328.11,0,0
"18CPQ",1,"7","0",63380,1104,2528.16,121.0,0.0,0.01,2649.17,0,0
"18CQ2",1,"8","0",56920,910,2083.9,0.0,0.0,0.01,2083.91,0,0
"1FG8R",1,"23","0",37973,790,1809.1,0.0,378.1,0.01,2187.21,0,0
"1FG8T",1,"1W","0",41784,723,1655.67,0.0,378.1,0.01,2033.78,0,0
"18CQO",1,"2X","0",8959,510,1203.6,120.36,0.0,1000.0,2323.96,0,0
"1FG8U",1,"24","0",40488,1217,2017.49,378.1,0.0,0.01,2395.6,0,0
"18CRO",1,"2Z","0",8378,770,2233.0,145.0,44.0,300.0,2722.0,0,0
"18CRV",1,"1R","0",18671,785,2386.4,0.0,7.59,0.01,2394.0,0,0
"18CSE",1,"1K","0",35172,1049,3126.02,0.0,1505.97,0.01,4632.0,0,0
"18CSJ",1,"1X","0",27409,586,1699.4,0.0,0.0,0.01,1699.41,0,0
"18P3Z",1,"S","0",30177,1185,3555.0,0.0,0.0,0.01,3555.01,0,0
"18P49",1,"1O","0",33844,611,1833.0,0.0,60.0,0.01,1893.01,0,0
"18P4A",1,"X","0",56148,1214,3338.5,0.0,1.49,0.01,3340.0,0,0
"18P5Q",1,"2C","0",47894,782,2346.0,0.0,0.0,0.01,2346.01,0,0
"18P5R",1,"14","0",42920,996,2988.0,0.0,27.0,0.01,3015.01,0,0
"1BLUK",1,"3Z","0",16975,1248,3744.0,0.0,0.0,0.01,3744.01,0,0
"18D37",1,"I","0",13291,712,1922.4,0.0,0.0,0.01,1922.41,0,0
"1AZW0",1,"1W","0",41061,998,2285.42,0.0,515.6,0.01,2801.03,0,0
"1BMEJ",1,"30","0",55050,1384,3044.8,0.0,139.0,0.01,3183.81,0,0
"1BMER",1,"38","0",4205,678,2034.0,0.0,0.0,0.01,2034.01,0,0
"1AZWF",1,"24","0",39271,860,1892.0,78.68,515.6,0.01,2486.29,0,0
"1BMG2",1,"40","0",3665,945,2835.0,0.0,0.0,0.01,2835.01,0,0
"1BMGX",1,"3M","0",6635,968,2381.28,0.0,1.71,0.01,2383.0,0,0
"1BYG7",1,"45","0",1237,0,0.01,0.0,0.0,0.0,0.01,0,0
"18OTS",1,"1L","0",32015,651,1562.4,78.12,0.0,0.01,1640.53,0,0
"1KP3Z",1,"1T","0",37957,990,2800.0,0.0,200.0,0.01,3000.01,0,0
"1KPMS",1,"O","0",34155,1057,2589.65,92.25,0.0,0.01,2681.91,0,0
"18CQE",1,"29","0",4861,554,1357.3,0.0,0.0,0.01,1357.31,0,0
"1913J",1,"2I","0",92754,850,1997.5,0.0,0.0,0.01,1997.51,0,0
"1913N",1,"19","0",27221,1340,3497.4,0.0,2.59,0.01,3500.0,0,0
"1913P",1,"18","0",19528,1287,3024.45,333.14,0.0,0.01,3357.6,0,0
"1913U",1,"1D","0",47955,860,2347.8,0.0,0.28,0.01,2348.09,0,0
"1913X",1,"3E","0",6679,950,2232.5,223.24,0.0,0.01,2455.75,0,0
"19140",1,"1V","0",49813,766,1754.14,0.0,0.0,0.01,1754.15,0,0
"1AZDM",1,"44","0",0,1035,2587.5,0.0,500.0,0.01,3087.51,0,0
"1AZV2",1,"1U","0",4570,822,2301.6,0.0,0.0,0.01,2301.61,0,0
"18CW9",1,"29","0",4861,554,1357.3,0.0,0.0,0.01,1357.31,0,0
"1L5V0",1,"2F","0",49651,670,1835.8,0.0,535.0,685.0,3055.8,0,0
"1AZE7",1,"2K","0",27704,908,2115.64,211.56,0.79,0.01,2328.0,0,0
"1B9XO",1,"10","0",48147,1245,2089.45,0.0,0.0,0.01,2089.46,0,0
"1AZEG",1,"2J","0",22913,679,2070.95,253.05,0.0,70.0,2394.0,0,0
"1B9ZA",1,"D","0",0,0,1000.0,0.0,0.0,0.01,1000.01,0,0
"1BY0G",1,"Z","0",31934,560,1282.4,17.0,12.99,1000.0,2312.39,0,0
"1BY0V",1,"3I","0",6911,817,1870.93,50.38,19.21,1000.0,2940.52,0,0
"1B9ZT",1,"1E","0",53648,740,1702.0,0.0,757.0,0.01,2459.01,0,0
"19DLI",1,"32","0",44964,808,2865.17,35.0,0.0,0.01,2900.18,0,0
"1CW9B",1,"1Y","0",53962,728,1789.04,0.0,0.0,0.01,1789.05,0,0
"1CW9G",1,"2B","0",29728,679,2342.55,0.0,0.0,0.01,2342.56,0,0
"1B9ZY",1,"3D","0",9316,2445,6186.0,0.0,0.0,0.01,6186.01,0,0
"1CW9S",1,"2T","0",26850,567,1407.0,0.0,0.0,0.01,1407.01,0,0
"1CW9W",1,"G","0",29011,5263,2472.0,0.0,0.0,0.01,2472.01,0,0
"1D9T4",1,"3B","0",5061,757,1892.5,0.0,0.0,0.01,1892.51,0,0
"1E0U6",1,"22","0",39507,757,1883.74,0.0,67.86,0.01,1951.61,0,0
"1E0X5",1,"1M","0",31323,1128,2205.0,0.0,0.0,0.01,2205.01,0,0
"1AZO5",1,"C","0",78828,768,2227.2,420.79,0.0,0.01,2648.0,0,0
"1ODPP",1,"9","0",36046,575,1771.0,0.0,100.0,0.01,1871.01,0,0
"1BM9D",1,"1","0",2097,154,523.6,0.0,0.4,0.0,524.0,0,0
"1DA0B",1,"Q","0",40095,566,1341.42,0.0,0.0,500.0,1841.42,0,0
"1BMBP",1,"25","0",80239,711,1599.75,0.0,0.0,0.01,1599.76,0,0
"1BMC4",1,"V","0",4294,599,1497.5,0.0,0.49,0.01,1498.0,0,0
"1NH40",1,"E","0",10618,500,1145.0,0.0,0.0,0.01,1145.01,0,0
"1IV6R",1,"L","0",27244,766,1838.4,0.0,1500.0,0.01,3338.41,0,0
"1BYG8",1,"45","0",1897,660,1508.76,30.17,198.58,0.01,1737.52,0,0
"1NH4C",1,"B","0",63280,670,1514.2,0.0,0.0,0.01,1514.21,0,0
"1BMD8",1,"3H","0",139455,1266,3000.42,0.0,0.0,0.01,3000.43,0,0
"1NH4E",1,"M","0",11504,588,1470.0,0.0,0.0,500.0,1970.0,0,0
"1BMDE",1,"11","0",12800,700,1743.0,0.0,16.29,0.01,1759.3,0,0
"19E6N",1,"1A","0",13066,840,2491.44,272.55,0.0,0.01,2764.0,0,0
"1BMDI",1,"1Z","0",76102,758,2107.24,0.0,0.0,0.01,2107.25,0,0
"19E73",1,"H","0",15904,586,2317.63,94.36,0.0,0.01,2412.0,0,0
"1BMDR",1,"2W","0",34029,704,1584.0,0.0,139.0,0.01,1723.01,0,0
"1BMDT",1,"2W","0",34848,819,1842.75,0.0,0.0,0.01,1842.76,0,0
"19E7K",1,"1F","0",86604,524,1294.28,0.0,0.71,0.01,1295.0,0,0
"1BME2",1,"41","0",66526,705,1670.85,0.0,0.0,0.01,1670.86,0,0
"1DOXQ",1,"3C","0",10303,982,2946.0,279.0,161.24,0.01,3386.25,0,0
"1NH4Q",1,"39","0",13153,2134,6402.0,960.0,0.0,0.01,7362.01,0,0
"1BYGR",1,"15","0",20704,848,2035.2,64.79,0.0,0.01,2100.0,0,0
"1BMGW",1,"3C","0",9375,1219,3657.0,279.0,0.0,0.01,3936.01,0,0
"1BAD2",1,"Y","0",7167,981,2246.49,75.5,0.0,0.01,2322.0,0,0
"19EBP",1,"3M","0",6396,729,1793.34,0.0,589.65,0.01,2383.0,0,0
"19EBY",1,"36","0",8078,548,1370.0,0.0,0.0,0.01,1370.01,0,0
"19Q8D",1,"2","0",18431,780,1716.0,0.0,70.0,1500.0,3286.0,0,0
"19Q8O",1,"1P","0",23970,714,1635.06,0.0,500.0,0.01,2135.07,0,0
"19Q98",1,"2Y","0",2022,815,2119.0,0.0,0.0,500.0,2619.0,0,0
"19QGY",1,"T","0",60638,708,2301.57,0.0,1456.42,0.01,3758.0,0,0
"19QHP",1,"W","0",32712,756,2364.77,0.0,0.0,0.01,2364.78,0,0
"19QHZ",1,"1N","0",42139,804,2122.56,0.0,0.0,0.01,2122.57,0,0
"19QIC",1,"N","0",26944,704,1612.16,0.0,238.94,0.01,1851.11,0,0
"1913S",1,"1C","0",8302,1045,2455.75,244.39,35.0,0.01,2735.15,0,0
"1913L",1,"31","0",17147,996,2340.6,234.05,35.0,0.01,2609.66,0,0
"19QXF",1,"3Y","0",3262,1204,3491.6,230.0,133.0,0.01,3854.61,0,0
"1D9T3",1,"3B","0",6655,837,2092.5,0.0,0.0,0.01,2092.51,0,0
"1E0QW",1,"43","0",3106,0,1488.82,0.0,0.0,0.01,1488.83,0,0
"1O8UE",1,"30","0",56447,1397,3213.1,0.0,0.0,0.01,3213.11,0,0
"1NH4O",1,"3Y","0",4213,951,2757.9,230.0,55.0,0.01,3042.91,0,0
"1EEIO",1,"37","0",3872,808,2424.0,51.0,0.0,0.01,2475.01,0,0
"1DONO",1,"1B","0",24423,1059,3229.95,0.0,150.0,0.01,3379.96,0,0
"1OKQX",1,"I","0",14325,1034,2895.2,0.0,0.0,0.01,2895.21,0,0
"1FU9M",1,"14","0",43694,774,2295.0,0.0,83.33,0.01,2378.34,0,0
"1FU9N",1,"X","0",56875,727,2108.3,0.0,83.33,0.01,2191.64,0,0
"1FU9O",1,"1O","0",34439,595,1785.0,0.0,83.33,0.01,1868.34,0,0
"1FU9P",1,"2C","0",48802,908,2724.0,0.0,83.33,0.01,2807.34,0,0
"1FU9Q",1,"S","0",30917,740,2220.0,0.0,83.33,0.01,2303.34,0,0
"1OQZU",1,"38","0",5690,755,2265.0,0.0,0.0,0.01,2265.01,0,0
"1GM6I",1,"2Z","0",9288,910,2639.0,145.0,52.0,300.0,3136.0,0,0
"1KQ2T",1,"1K","0",35974,802,2389.96,0.0,383.04,0.01,2773.01,0,0
"1EEGD",1,"1X","0",28065,656,1902.4,0.0,0.0,0.01,1902.41,0,0
"1G8UB",1,"44","0",3395,1265,3818.0,0.0,0.0,0.01,3818.01,0,0
"1FUOV",1,"2P","0",14433,514,1490.6,0.0,83.33,0.01,1573.94,0,0
"1G8UD",1,"1G","0",15780,710,1746.6,0.0,0.0,0.01,1746.61,0,0
"1EEMR",1,"C","0",79131,658,1974.0,0.0,0.0,0.01,1974.01,0,0
"1NH3U",1,"7","0",64727,1347,3084.63,236.63,0.0,0.01,3321.27,0,0
"1NH3Y",1,"8","0",57810,890,2038.1,0.0,0.0,0.01,2038.11,0,0
"1G92J",1,"40","0",4884,1219,4266.5,0.0,0.0,0.01,4266.51,0,0
"1G92L",1,"38","0",4935,730,2555.0,0.0,0.0,0.01,2555.01,0,0
"1E11I",1,"2X","0",9397,438,1064.34,107.65,0.0,1000.01,2172.0,0,0
"1EER3",1,"3Z","0",17866,891,2538.0,0.0,0.0,0.01,2538.01,0,0
"1KPJA",1,"1A","0",13968,902,3149.78,0.0,0.21,0.01,3150.0,0,0
"1KPN4",1,"17","0",48715,361,795.97,0.0,468.76,0.01,1264.74,0,0
"1IV7M",1,"F","0",41299,2751,1976.25,0.0,0.0,0.01,1976.26,0,0
"1L5HO",1,"1","0",2667,570,1938.0,0.0,0.0,0.01,1938.01,0,0
"1L5HU",1,"N","0",27951,1007,2306.03,0.0,316.56,0.01,2622.6,0,0
"1L5VA",1,"2Y","0",3134,1112,2891.2,0.0,500.0,0.01,3391.21,0,0
"1L5VF",1,"Q","0",40762,667,1580.79,0.0,0.0,0.01,1580.8,0,0
"1ME98",1,"Y","0",8430,1263,2892.27,122.72,0.0,0.01,3015.0,0,0
"1ME9V",1,"10","0",49364,1217,3882.23,0.0,0.0,0.01,3882.24,0,0
"1KPHT",1,"1P","0",24571,601,1376.29,0.0,500.0,0.01,1876.3,0,0
"1KPMK",1,"29","0",5468,607,1547.85,0.0,0.0,0.01,1547.86,0,0
"1KPNE",1,"2","0",19473,1042,2386.18,0.0,0.0,0.01,2386.19,0,0
"1KPOL",1,"T","0",61353,533,1785.55,2.44,0.0,0.01,1788.0,0,0
"1P71A",1,"U","0",9397,438,1051.2,121.0,1000.0,0.01,2172.21,0,0
"1OF55",1,"1Z","0",76884,836,1733.03,367.0,0.0,0.01,2100.04,0,0
"1OF58",1,"22","0",40643,1136,2354.93,0.0,471.14,0.01,2826.08,0,0
"1OF5C",1,"1U","0",5203,633,2100.0,0.0,0.0,0.01,2100.01,0,0
"1P26H",1,"1W","0",41784,723,2096.7,0.0,0.0,0.01,2096.71,0,0
"1KPRR",1,"32","0",46359,1395,4945.28,0.0,0.0,0.01,4945.29,0,0
"1O9HY",1,"43","0",4028,922,2326.21,0.0,0.0,0.01,2326.22,0,0
"1O9I5",1,"48","0",54278,543,1303.2,0.0,0.0,0.01,1303.21,0,0
"1O9J2",1,"2F","0",50562,911,2733.0,0.0,993.0,0.01,3726.01,0,0
"1KQ0T",1,"1F","0",87270,666,1614.38,0.0,0.0,0.01,1614.39,0,0
"1KQ23",1,"36","0",8833,755,1887.5,0.0,600.0,0.01,2487.51,0,0
"1KQ2I",1,"J","0",99717,1040,2381.6,0.0,0.0,0.01,2381.61,0,0
"1ODPD",1,"2W","0",35860,1012,2530.0,0.0,13.0,0.01,2543.01,0,0
"1ODPG",1,"1M","0",32829,1506,3765.0,0.0,0.0,0.01,3765.01,0,0
"1ODPR",1,"9","0",36785,739,2357.41,0.0,100.0,0.01,2457.42,0,0
"1O8RM",1,"45","0",3622,1725,3943.35,78.86,384.33,0.01,4406.55,0,0
"1O8RO",1,"Z","0",32727,793,1815.97,0.0,35.33,1000.0,2851.3,0,0
"1O8RQ",1,"3I","0",7984,1073,2457.17,123.66,68.93,1000.0,3649.76,0,0
"1O8S0",1,"D","0",0,0,1000.0,0.0,0.0,0.0,1000.0,0,0
"1O8TT",1,"1Y","0",54990,1028,2498.04,0.0,170.0,0.01,2668.05,0,0
"1L67C",1,"25","0",81053,814,1831.5,0.0,0.0,0.01,1831.51,0,0
"1L67L",1,"3H","0",141447,1392,3299.04,0.0,0.0,0.01,3299.05,0,0
"1L67P",1,"3L","0",39448,755,1789.35,0.0,0.0,0.01,1789.36,0,0
"1O8U5",1,"2B","0",30978,1250,4312.5,0.0,0.0,0.01,4312.51,0,0
"1L67T",1,"41","0",67271,745,1765.65,0.0,0.0,0.01,1765.66,0,0
"1NH3W",1,"15","0",20759,856,2000.0,0.0,0.0,0.01,2000.01,0,0
"1O8UB",1,"V","0",5400,1106,2751.51,0.0,0.0,0.01,2751.52,0,0
"1NH48",1,"2J","0",23921,1008,3165.12,354.86,0.0,0.01,3519.99,0,0
"1IV6S",1,"L","0",28088,844,2194.4,0.0,0.0,0.01,2194.41,0,0
"1NH4A",1,"2K","0",29002,1298,3024.34,332.67,0.0,0.01,3357.02,0,0
"1IV7T",1,"W","0",33401,689,1998.1,0.0,171.48,0.01,2169.59,0,0
"1NH4F",1,"M","0",12278,774,1935.0,0.0,0.0,500.0,2435.0,0,0
"1JN52",1,"1V","0",50903,770,1763.3,0.0,26.45,0.01,1789.76,0,0
"1JN3E",1,"2I","0",97323,830,1950.5,0.0,42.47,0.01,1992.98,0,0
"1JN3N",1,"31","0",18325,1178,2768.3,276.83,127.47,0.01,3172.61,0,0
"1JN3V",1,"19","0",28288,667,1567.92,0.0,42.47,0.01,1610.4,0,0
"1JN3X",1,"18","0",21425,1897,4457.95,444.13,42.47,0.01,4944.56,0,0
"1JN4A",1,"1C","0",9600,1298,3050.3,124.08,127.47,0.01,3301.86,0,0
"1JN4H",1,"1D","0",48869,914,2362.23,0.0,42.47,0.01,2404.71,0,0
"1JN4O",1,"3E","0",7704,1025,2408.75,240.87,42.47,0.01,2692.1,0,0
"1JN6T",1,"K","0",33352,1089,3082.96,0.0,0.0,0.01,3082.97,0,0
"1JN76",1,"T","0",61334,696,1781.76,0.0,0.23,0.01,1782.0,0,0
"1JN7M",1,"H","0",16845,941,1792.51,2079.5,0.0,0.01,3872.02,0,0
"1JN7R",1,"1L","0",32787,772,1930.0,96.0,0.0,0.01,2026.01,0,0
"1NH4K",1,"G","0",29917,906,2536.8,0.0,0.0,400.0,2936.8,0,0
"1NH4M",1,"3M","0",7794,1159,2654.11,0.0,27.0,0.01,2681.12,0,0
"1NH4S",1,"3C","0",12562,1134,3402.0,290.0,0.0,0.01,3692.01,0,0
"1NH4U",1,"3D","0",11603,2287,5786.1,0.0,0.0,0.01,5786.11,0,0
"1NH4X",1,"1E","0",54723,1075,2461.75,0.0,1289.0,0.01,3750.76,0,0
"1Q4AG",1,"2T","0",27630,780,1942.2,0.0,0.0,0.01,1942.21,0,0
"1OLG1",1,"37","0",4872,1000,3000.0,66.0,0.0,0.01,3066.01,0,0
"1OLG6",1,"1B","0",25585,1162,3602.2,0.0,150.0,0.01,3752.21,0,0
"1OLLN",1,"C","0",80378,1247,2930.45,0.0,1000.0,0.01,3930.46,0,0
"1OLM2",1,"44","0",4709,1314,3090.0,0.0,1000.0,0.01,4090.01,0,0
"1OLLZ",1,"1X","0",28893,828,2401.2,0.0,0.0,0.01,2401.21,0,0
"1OO2F",1,"2C","0",49781,979,2937.0,0.0,0.0,0.01,2937.01,0,0
"1OKQY",1,"I","0",15565,1240,3472.0,0.0,0.0,0.01,3472.01,0,0
"1OR05",1,"40","0",5879,995,2985.0,0.0,0.0,0.01,2985.01,0,0
"1P1FC",1,"7","0",67743,3016,6898.93,0.0,0.0,0.01,6898.94,0,0
"1P1FK",1,"8","0",58658,848,1615.39,0.0,0.0,0.01,1615.4,0,0
"1P1FU",1,"E","0",11307,689,1577.81,0.0,0.0,0.01,1577.82,0,0
"1OLMB",1,"3Z","0",18823,957,2536.31,0.0,1000.0,0.01,3536.32,0,0
"1OU2M",1,"1K","0",37163,1189,3543.22,201.18,978.82,0.01,4723.23,0,0
"1OO1D",1,"S","0",31960,1043,3129.0,0.0,0.0,0.01,3129.01,0,0
"1OO1H",1,"X","0",57770,895,2506.0,0.0,0.0,0.01,2506.01,0,0
"1OO1P",1,"14","0",44725,1034,3102.0,0.0,0.0,0.01,3102.01,0,0
"1OO1U",1,"I","0",15565,1240,3472.0,0.0,0.0,0.01,3472.01,0,0
"1OO1X",1,"1O","0",35244,805,2415.0,0.0,0.0,0.01,2415.01,0,0
"1OO2C",1,"2C","0",49781,979,2937.0,0.0,0.0,0.01,2937.01,0,0
"1OO2O",1,"2Z","0",10187,899,2607.1,145.0,352.0,0.01,3104.11,0,0
"1OO2V",1,"3Y","0",5268,1055,3059.5,230.0,60.0,0.01,3349.51,0,0
"1P1H0",1,"3E","0",8961,1257,2953.95,295.39,0.0,0.01,3249.35,0,0
"1P1F6",1,"17","0",49204,489,1077.76,0.0,528.28,0.01,1606.05,0,0
"1P1F8",1,"2","0",21052,1579,3615.91,0.0,1500.0,0.01,5115.92,0,0
"1OTJ5",1,"T","0",62074,721,2090.9,0.0,0.0,0.01,2090.91,0,0
"1OTJD",1,"F","0",42182,883,2339.95,0.0,0.0,0.01,2339.96,0,0
"1P6V9",1,"3I","0",9405,1421,3254.09,105.34,1033.59,0.01,4393.03,0,0
"1P6VD",1,"G","0",30819,902,2525.6,0.0,400.0,0.01,2925.61,0,0
"1P6VH",1,"36","0",9696,863,2157.5,0.0,600.0,0.01,2757.51,0,0
"1OTJV",1,"29","0",6210,742,1966.3,0.0,0.0,0.01,1966.31,0,0
"1OTJX",1,"O","0",35249,1094,2899.1,321.63,0.0,0.01,3220.74,0,0
"1P6VS",1,"1U","0",6160,957,4300.0,0.0,0.0,0.01,4300.01,0,0
"1P71G",1,"U","0",11804,2407,5811.8,0.0,1030.0,0.01,6841.81,0,0
"1P71L",1,"3M","0",9232,1438,3293.02,0.0,33.0,0.01,3326.03,0,0
"1P71S",1,"39","0",14165,1012,3036.0,0.0,0.0,0.01,3036.01,0,0
"1P71X",1,"3C","0",13982,1420,4622.0,0.0,0.0,0.01,4622.01,0,0
"1P723",1,"49","0",1088,1088,2491.52,0.0,75.57,0.01,2567.1,0,0
"1P78W",1,"4K","0",0,1200,2748.0,0.0,2748.0,0.01,5496.01,0,0
"1PE8M",1,"2Y","0",4367,1233,3329.1,500.0,0.0,0.01,3829.11,0,0
"1PE8O",1,"1T","0",39607,1650,4999.5,0.0,0.49,0.01,5000.0,0,0
"1PE8Q",1,"1A","0",15485,1279,4169.54,0.0,9.46,0.01,4179.01,0,0
"1PNEX",1,"9","0",37526,741,2200.99,0.0,100.0,0.01,2301.0,0,0
"1PNF5",1,"25","0",82216,1074,2416.5,0.0,0.0,0.01,2416.51,0,0
"1P690",1,"1","0",3339,417,1417.8,0.0,0.0,0.01,1417.81,0,0
"1P694",1,"15","0",21913,1154,3269.59,124.8,105.6,0.01,3500.0,0,0
"1P696",1,"1L","0",33793,1006,2515.0,125.0,0.0,0.01,2640.01,0,0
"1P69S",1,"Y","0",9901,1471,3383.3,142.6,1247.4,0.01,4773.31,0,0
"1P6C3",1,"1E","0",55479,756,1505.0,0.0,1000.0,0.01,2505.01,0,0
"1PNM6",1,"H","0",17824,979,4023.69,0.0,5.3,0.01,4029.0,0,0
"1P6CS",1,"2J","0",25008,1087,3413.18,377.18,0.0,0.01,3790.37,0,0
"1P6CU",1,"2K","0",30185,1183,2756.39,303.2,1500.0,0.01,4559.6,0,0
"1OTZE",1,"32","0",47319,960,3402.24,0.0,0.0,0.01,3402.25,0,0
"1OTZJ",1,"1G","0",16659,879,2162.34,0.0,0.0,0.01,2162.35,0,0
"1OTZO",1,"W","0",34307,906,2627.4,0.0,176.27,0.01,2803.68,0,0
"1OTZX",1,"2X","0",10087,690,1676.7,169.0,1000.0,0.01,2845.71,0,0
"1OVFB",1,"1R","0",20310,902,2751.1,0.0,0.0,0.01,2751.11,0,0
"1P1FO",1,"J","0",101035,1318,3006.77,0.0,0.0,0.01,3006.78,0,0
"1P1GM",1,"1D","0",49988,1119,2892.06,0.0,0.0,0.01,2892.07,0,0
"1P1GP",1,"19","0",29229,840,2209.47,0.0,0.0,0.01,2209.48,0,0
"1P1GY",1,"18","0",23688,2263,4700.0,531.8,0.0,0.01,5231.81,0,0
"1P24A",1,"L","0",29110,1022,2657.2,0.0,0.0,0.01,2657.21,0,0
"1P24G",1,"K","0",34239,887,2306.2,0.0,0.0,0.01,2306.21,0,0
"1P24L",1,"N","0",29031,1080,2473.2,274.8,60.0,0.01,2808.01,0,0
"1P24T",1,"Q","0",41468,706,1673.22,0.0,0.0,0.01,1673.23,0,0
"1P255",1,"1P","0",25309,738,1690.02,0.0,500.0,0.01,2190.03,0,0
"1PNR4",1,"1N","0",0,922,2434.08,0.0,0.0,0.01,2434.09,0,0
"1P25O",1,"2I","0",102042,898,2110.3,0.0,1.0,0.01,2111.31,0,0
"1P25W",1,"24","0",41635,1146,2624.34,0.0,0.0,0.01,2624.35,0,0
"1P26M",1,"1W","0",42696,912,2088.48,0.0,0.0,0.01,2088.49,0,0
"1P26R",1,"23","0",39035,1062,2431.98,0.0,0.0,0.01,2431.99,0,0
"1P1GS",1,"31","0",19688,1363,3203.05,320.35,35.0,0.01,3558.41,0,0
"1P1GK",1,"1C","0",11110,1510,3548.5,470.0,476.32,0.01,4494.83,0,0
"1P1GE",1,"1V","0",52059,906,2074.74,0.0,173.33,0.01,2248.08,0,0
"1PNR6",1,"2F","0",51693,1131,3392.0,0.0,995.0,0.01,4387.01,0,0
"1PNRB",1,"43","0",4783,755,1906.38,0.0,0.0,0.01,1906.39,0,0
"1PNRE",1,"3B","0",9322,1343,3357.5,0.0,0.0,0.01,3357.51,0,0
"1PD8V",1,"Z","0",33627,900,2061.0,17.0,1020.78,0.01,3098.79,0,0
"1PD93",1,"10","0",50938,1574,5021.06,0.0,0.0,0.01,5021.07,0,0
"1PD95",1,"3D","0",12899,1296,3278.88,0.0,0.0,0.01,3278.89,0,0
"1PNRJ",1,"1M","0",34427,1598,3995.0,0.0,0.0,0.01,3995.01,0,0
"1PD98",1,"B","0",64108,828,1798.33,0.0,0.0,0.01,1798.34,0,0
"1PD9A",1,"1F","0",88072,802,1944.05,0.0,0.0,0.01,1944.06,0,0
"1PEET",1,"1Y","0",56075,1085,2636.55,0.0,171.0,0.01,2807.56,0,0
"1PEEX",1,"1Z","0",77638,754,2103.66,142.0,0.0,0.01,2245.67,0,0
"1PEF0",1,"2B","0",32289,1311,4522.95,0.0,0.0,0.01,4522.96,0,0
"1PEF3",1,"V","0",6905,1505,3119.87,0.0,0.12,0.01,3120.0,0,0
"1PEF6",1,"11","0",13600,800,1990.72,0.0,20.0,0.01,2010.73,0,0
"1PEF8",1,"3H","0",143053,1606,3806.22,0.0,0.0,0.01,3806.23,0,0
"1PEFA",1,"3L","0",40783,1335,3404.25,0.0,0.0,0.01,3404.26,0,0
"1PEFE",1,"41","0",69010,1221,3113.55,0.0,0.0,0.01,3113.56,0,0
"1PEFV",1,"30","0",60322,2102,4834.6,0.0,0.0,0.01,4834.61,0,0
"1PEG4",1,"M","0",13182,904,2260.0,0.0,500.0,0.01,2760.01,0,0
