IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"QKS5","1","разница в тарифах","2017-09-25","41E","2017-09-01","0",29787,892,1891.04,0.0,64.0,0.01,1955.05,0,0,"0     0"
"MGZX","1","","2017-09-25","41E","2017-09-01","0",3111,769,1922.5,0.0,0.0,600.0,2522.5,0,0,"0     0"
"MGZZ","1","","2017-09-25","41E","2017-09-01","0",81114,530,1060.0,0.0,0.0,0.01,1060.01,0,0,"0     0"
"MH06","1","","2017-09-30","41E","2017-09-01","0",6930,617,1542.5,0.0,0.0,500.0,2042.5,0,0,"0     0"
"QKVG","1","","2017-09-30","41E","2017-09-01","0",21342,531,1194.75,0.0,0.0,0.01,1194.76,0,0,"0     0"
"QKVS","1","","2017-09-30","41E","2017-09-01","0",7700,1000,2130.0,21.0,0.0,0.01,2151.01,0,0,"0     0"
"NT2E","1","","2017-09-30","41E","2017-09-01","0",22395,1624,3524.08,0.0,0.0,0.01,3524.09,0,0,"0     0"
"NT5F","1","","2017-09-30","41E","2017-09-01","0",34055,952,1904.0,0.0,0.0,0.01,1904.01,0,0,"0     0"
"MH0C","1","","2017-09-21","41E","2017-09-01","0",28198,988,2223.0,257.0,0.0,0.01,2480.01,0,0,"0     0"
"QL1N","1","","2017-09-29","41E","2017-09-01","0",70699,785,1628.09,0.0,0.0,0.1,1628.19,0,0,"0     0"
"OEPO","1","","2017-09-30","41E","2017-09-01","0",75963,662,1340.55,0.0,0.0,0.01,1340.56,0,0,"0     0"
"LFCA","1","","2017-09-23","41E","2017-09-01","0",26714,681,1974.9,0.0,55.1,150.0,2180.0,0,0,"0     0"
"QL2T","1","","2017-09-25","41E","2017-09-01","0",25183,911,2186.4,0.0,0.0,0.01,2186.41,0,0,"0     0"
"LTH9","1","","2017-09-20","41E","2017-09-01","0",42010,1171,2342.0,0.0,126.0,0.01,2468.01,0,0,"0     0"
"LTHC","1","","2017-09-20","41E","2017-09-01","0",64446,763,1588.57,0.0,0.0,0.01,1588.58,0,0,"0     0"
"LTHE","1","","2017-09-20","41E","2017-09-01","0",9135,1590,3148.2,367.0,0.0,0.01,3515.21,0,0,"0     0"
"LTHI","1","","2017-09-20","41E","2017-09-01","0",19399,1131,2354.74,0.0,0.0,0.01,2354.75,0,0,"0     0"
"OERC","1","","2017-09-25","41E","2017-09-01","0",32186,1050,2887.5,31.0,0.0,100.0,3018.5,0,0,"0     0"
"LTHK","1","","2017-09-20","41E","2017-09-01","0",11503,1851,3664.98,428.0,0.0,0.01,4092.99,0,0,"0     0"
"LTHO","1","","2017-09-20","41E","2017-09-01","0",43201,1300,2574.0,0.0,39.0,0.01,2613.01,0,0,"0     0"
"NTT5","1","","2017-09-25","41E","2017-09-01","0",21507,1011,1971.45,208.0,0.0,60.0,2239.45,0,0,"0     0"
"MI51","1","","2017-09-30","41E","2017-09-01","0",39290,768,1536.0,70.0,792.0,0.01,2398.01,0,0,"0     0"
"M83R","1","","2017-10-23","41E","2017-09-01","0",11581,800,1600.0,0.0,0.0,1500.0,3100.0,0,0,"0     0"
"MI5N","1","","2017-09-27","41E","2017-09-01","0",34919,673,1595.01,0.0,0.0,500.0,2095.01,0,0,"0     0"
"MN97","1","","2017-09-29","41E","2017-09-01","0",44298,799,2189.26,0.0,899.0,0.01,3088.27,0,0,"0     0"
"MN9J","1","","2017-09-28","41E","2017-09-01","0",18102,854,1708.0,0.0,0.0,500.0,2208.0,0,0,"0     0"
"MI6I","1","залог 2400 грн","2017-09-27","41E","2017-09-01","0",35622,888,2131.2,0.0,0.0,500.0,2631.2,0,0,"0     0"
"MNA9","1","","2017-09-22","41E","2017-09-01","0",31582,809,2103.4,0.0,0.0,0.01,2103.41,0,0,"0     0"
"MI6L","1","","2017-09-30","41E","2017-09-01","0",16005,1154,3288.9,0.0,0.0,0.01,3288.91,0,0,"0     0"
