IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"1SS9D","1","200 грн уборка,  114 грн - вода, 120 грн - мусор","2018-10-24","41E","2018-10-01","0",3166,1262,3028.8,0.0,434.0,0.01,3462.81,0,0,"0     0"
"1UBUZ","1","","2018-11-01","41E","2018-11-01","0",54463,698,1807.82,0.0,0.0,0.01,1807.83,0,0,"0     0"
"1UBWD","1","","2018-11-01","41E","2018-11-01","0",35690,1000,2440.0,0.0,0.0,0.01,2440.01,0,0,"0     0"
"1UC4P","1","","2018-11-01","41E","2018-11-01","0",19055,1386,3381.84,0.0,373.0,0.01,3754.85,0,0,"0     0"
"1UIQF","1","","2018-11-01","41E","2018-11-01","0",120237,993,2422.92,0.0,227.78,0.01,2650.71,0,0,"0     0"
"1UIQI","1","","2018-11-01","41E","2018-11-01","0",24714,958,2509.96,0.0,0.0,0.01,2509.97,0,0,"0     0"
"1UOB4","1","","2018-11-01","41E","2018-11-01","0",56140,500,1175.0,0.0,0.0,0.01,1175.01,0,0,"0     0"
"1UOBQ","1","","2018-11-10","41E","2018-11-01","0",2431,1464,3352.56,79.39,0.0,0.01,3431.96,0,0,"0     0"
"1UC90","1","","2018-11-01","41E","2018-11-01","0",14345,848,2069.12,0.0,206.9,0.01,2276.03,0,0,"0     0"
"1UB0G","1","","2018-11-10","41E","2018-11-01","0",64213,792,1813.68,0.0,0.0,0.01,1813.69,0,0,"0     0"
"1U6NK","1","","2018-11-01","41E","2018-11-01","0",83167,392,1317.12,0.0,0.0,0.01,1317.13,0,0,"0     0"
"1TPYR","1","20 грн комиссия","2018-11-01","41E","2018-11-01","0",60060,768,2181.12,0.0,20.0,0.01,2201.13,0,0,"0     0"
"1TPZ7","1","","2018-11-01","41E","2018-11-01","0",31289,537,1380.09,0.0,0.0,0.01,1380.1,0,0,"0     0"
"1TQ04","1","","2018-11-01","41E","2018-11-01","0",19300,1000,2597.0,0.0,0.0,0.01,2597.01,0,0,"0     0"
"1TJYC","1","","2018-11-12","41E","2018-11-01","0",9166,1500,3450.0,0.0,50.0,0.01,3500.01,0,0,"0     0"
"1TY3P","1","","2018-11-05","41E","2018-11-01","0",103295,1126,2871.3,0.0,0.0,0.01,2871.31,0,0,"0     0"
"1UBHB","1","","2018-11-01","41E","2018-11-01","0",19055,1386,3381.84,0.0,338.15,0.01,3720.0,0,0,"0     0"
"1TR05","1","","2018-11-10","41E","2018-11-01","0",32703,462,1339.8,0.0,2.19,0.01,1342.0,0,0,"0     0"
"1TR5S","1","","2018-11-10","41E","2018-11-01","0",6179,670,2010.0,0.0,0.0,0.01,2010.01,0,0,"0     0"
"1TR5T","1","","2018-11-10","41E","2018-11-01","0",6011,1134,3402.0,0.0,0.0,0.01,3402.01,0,0,"0     0"
"1TR5V","1","","2018-11-10","41E","2018-11-01","0",11500,865,2595.0,0.0,0.0,0.01,2595.01,0,0,"0     0"
"1TQZX","1","150 грн за обслуживание сети","2018-11-12","41E","2018-11-01","0",31076,910,2821.0,0.0,150.0,0.01,2971.01,0,0,"0     0"
"1TR03","1","","2018-11-01","41E","2018-11-01","0",37223,681,2043.0,0.0,0.0,0.01,2043.01,0,0,"0     0"
"1TR0G","1","","2018-11-01","41E","2018-11-01","0",62579,717,2151.0,0.0,0.0,0.01,2151.01,0,0,"0     0"
"1TR0L","1","","2018-11-01","41E","2018-11-01","0",3440,882,2646.0,0.0,0.0,0.01,2646.01,0,0,"0     0"
"1TR1E","1","","2018-11-01","41E","2018-11-01","0",8172,575,1725.0,0.0,0.0,0.01,1725.01,0,0,"0     0"
"1TR1L","1","","2018-11-15","41E","2018-11-01","0",36795,490,1274.0,0.0,0.0,0.01,1274.01,0,0,"0     0"
"1TR2D","1","","2018-11-01","41E","2018-11-01","0",39715,531,1593.0,0.0,0.0,0.01,1593.01,0,0,"0     0"
"1TR2I","1","","2018-11-01","41E","2018-11-01","0",48887,631,1893.0,0.0,0.0,0.01,1893.01,0,0,"0     0"
"1TR85","1","","2018-11-01","41E","2018-11-01","0",19066,704,2112.0,0.0,0.0,0.01,2112.01,0,0,"0     0"
"1TRDR","1","","2018-11-10","41E","2018-11-01","0",41386,866,2407.48,0.0,100.0,0.01,2507.49,0,0,"0     0"
"1TR08","1","","2018-11-20","41E","2018-11-01","0",65959,602,1974.56,332.44,0.0,0.01,2307.01,0,0,"0     0"
"1UZDR","1","160 грн мусор+250грн охрана+65 грн пож.безоп.+260 уборка+вода и ?(40+152)","2018-11-30","41E","2018-12-01","0",56414,693,2079.0,0.0,927.0,0.01,3006.01,0,0,"0     0"
"1UZGQ","1","новый счетчик показания прошлые 573, настоящие 1258 = 685 кВт","2018-11-30","41E","2018-12-01","0",1258,685,2055.0,0.0,500.0,0.01,2555.01,0,0,"0     0"
"1VKUC","1","","2018-11-30","41E","2018-12-01","0",16531,1221,2820.51,105.0,1233.0,0.01,4158.52,0,0,"0     0"
"1UZHP","1","1000 грн за подключение","2018-11-25","41E","2018-12-31","0",21741,1398,3495.0,0.0,1000.0,0.0,4495.0,0,0,"0     0"
"1VKUV","1","","2018-11-30","41E","2018-12-01","0",48332,916,2152.6,0.0,1.49,0.01,2154.1,0,0,"0     0"
"1VKUX","1","","2018-11-30","41E","2018-12-01","0",48404,978,2298.3,0.0,1.7,0.01,2300.01,0,0,"0     0"
"1VKUY","1","","2018-11-30","41E","2018-12-01","0",44560,909,2136.15,0.0,0.0,0.01,2136.16,0,0,"0     0"
"1TE7A","1","40","2018-11-29","41E","2018-11-01","0",25444,800,2000.0,0.0,40.0,0.0,2040.0,0,0,"0     0"
"1UKV5","1","","2018-11-23","41E","2018-11-01","0",106921,620,1426.62,0.0,0.0,0.01,1426.63,0,0,"0     0"
"1UKVS","1","","2018-11-20","41E","2018-11-01","0",11862,1011,2780.25,0.0,2346.75,0.01,5127.01,0,0,"0     0"
"1U84B","1","","2018-11-30","41E","2018-11-01","0",37195,581,1342.11,17.0,1013.59,0.01,2372.71,0,0,"0     0"
"1UZO0","1","","2018-11-02","41E","2018-12-01","0",82118,838,2229.91,0.0,0.0,0.01,2229.92,0,0,"0     0"
"1UKW9","1","","2018-11-30","41E","2018-11-01","0",29603,693,2196.81,0.0,219.68,0.01,2416.5,0,0,"0     0"
"1UOBT","1","","2018-11-20","41E","2018-11-01","0",19291,989,3313.15,0.0,0.0,0.01,3313.16,0,0,"0     0"
"1UOBV","1","","2018-11-30","41E","2018-11-01","0",59658,762,1752.6,0.0,794.52,0.01,2547.13,0,0,"0     0"
"1UOBY","1","","2018-11-28","41E","2018-11-01","0",4748,332,763.6,0.0,0.0,0.01,763.61,0,0,"0     0"
"1UKWD","1","","2018-11-30","41E","2018-11-01","0",56893,800,2552.0,0.0,0.0,0.01,2552.01,0,0,"0     0"
"1TX4K","1","","2018-11-28","41E","2018-11-01","0",34782,698,1954.4,0.0,0.0,0.01,1954.41,0,0,"0     0"
"1TX4O","1","","2018-11-27","41E","2018-11-01","0",21345,871,3584.0,0.0,0.0,0.01,3584.01,0,0,"0     0"
"1TX4Z","1","10% потери, 1% банк + 60 грн мусор","2018-11-27","41E","2018-11-01","0",34368,823,1884.67,188.46,80.73,0.01,2153.87,0,0,"0     0"
"1TX5U","1","","2018-11-25","41E","2018-11-01","0",29683,796,1830.8,0.0,500.0,0.01,2330.81,0,0,"0     0"
"1TX75","1","","2018-11-27","41E","2018-11-01","0",26808,964,2207.56,0.0,0.0,0.01,2207.57,0,0,"0     0"
"1TX77","1","","2018-11-27","41E","2018-11-01","0",13749,724,1810.0,0.0,600.0,0.01,2410.01,0,0,"0     0"
"1TX79","1","300охрана+44грн смс+70смс+9,76 банк+162,56 НДС (20%)","2018-11-23","41E","2018-11-01","0",51756,366,812.78,0.0,587.0,0.01,1399.79,0,0,"0     0"
"1TX7B","1","","2018-11-19","41E","2018-11-01","0",40060,723,1915.95,0.0,239.61,0.01,2155.57,0,0,"0     0"
"1TX7D","1","","2018-11-19","41E","2018-11-01","0",10037,529,1401.85,0.0,0.0,0.01,1401.86,0,0,"0     0"
"1TX7F","1","500грн +200(100 за ноябрь +100 за окт за ремонт)","2018-11-27","41E","2018-11-01","0",9975,802,2165.4,0.0,700.0,0.01,2865.41,0,0,"0     0"
"1TX7H","1","178,8грн потери, 330 вывоз тбо,618,95 - возмещ.налога на землю,30грн- вода","2018-11-20","41E","2018-11-01","0",43298,848,2527.04,0.0,1157.75,0.01,3684.8,0,0,"0     0"
"1TX7J","1","","2018-11-26","41E","2018-11-01","0",6546,927,2122.83,0.0,0.0,0.01,2122.84,0,0,"0     0"
"1VQO6","1","","2018-11-30","41E","2018-12-01","0",60800,931,2234.0,0.0,0.0,0.01,2234.01,0,0,"0     0"
"1TX7M","1","10% потери, комиссия банка 1% и 60 грн мусор","2018-11-26","41E","2018-11-01","0",25594,837,1916.73,191.67,81.08,0.01,2189.49,0,0,"0     0"
"1TTUL","1","","2018-11-18","41E","2018-11-01","0",46297,733,1942.45,0.0,0.0,0.01,1942.46,0,0,"0     0"
"1TTUQ","1","","2018-11-24","41E","2018-11-01","0",37996,690,1725.0,86.25,0.0,0.01,1811.26,0,0,"0     0"
"1UAZN","1","","2018-11-17","41E","2018-11-01","0",14951,631,1444.99,0.0,0.0,0.01,1445.0,0,0,"0     0"
"1UXN0","1","","2018-11-30","41E","2018-11-01","0",25824,2229,5639.0,0.0,0.0,0.01,5639.01,0,0,"0     0"
"1UXN5","1","","2018-11-30","41E","2018-11-01","0",35203,722,2288.74,253.0,0.0,0.01,2541.75,0,0,"0     0"
"1UXNE","1","","2018-11-30","41E","2018-11-01","0",15585,1004,2319.24,66.0,1011.18,0.01,3396.43,0,0,"0     0"
"1UXNN","1","","2018-11-27","41E","2018-11-01","0",91768,668,1616.56,0.0,0.0,0.01,1616.57,0,0,"0     0"
"1UXNX","1","33 услуги банка","2018-11-30","41E","2018-11-01","0",15556,927,2122.83,0.0,33.0,0.01,2155.84,0,0,"0     0"
"1UXNZ","1","300 грн обслуж.сетей,63 грн -банк","2018-11-30","41E","2018-11-01","0",35436,905,2624.5,231.0,363.0,0.01,3218.51,0,0,"0     0"
"1UXO2","1","","2018-11-30","41E","2018-11-01","0",25821,1046,3190.3,0.0,0.0,0.01,3190.31,0,0,"0     0"
"1UXOC","1","","2018-11-30","41E","2018-11-01","0",2239,984,2521.0,0.0,0.0,0.01,2521.01,0,0,"0     0"
"1UXOM","1","114 грн вода, 200 грн уборка, 120 грн мусор","2018-11-30","41E","2018-11-01","0",4477,1311,3146.4,0.0,434.0,0.01,3580.41,0,0,"0     0"
"1U6MU","1","","2018-11-30","41E","2018-11-01","0",67300,750,1917.0,0.0,0.0,0.01,1917.01,0,0,"0     0"
"1TPYF","1","","2018-11-30","41E","2018-11-01","0",91100,412,997.04,0.0,0.0,0.01,997.05,0,0,"0     0"
"1UL3H","1","","2018-11-13","41E","2018-11-01","0",15413,834,2418.6,0.0,502.0,0.01,2920.61,0,0,"0     0"
"1U6PN","1","","2018-11-20","41E","2018-11-01","0",54029,1075,3810.88,0.0,1.13,0.01,3812.02,0,0,"0     0"
"1TQ0U","1","","2018-11-30","41E","2018-11-01","0",46129,1045,2664.75,0.0,0.0,0.01,2664.76,0,0,"0     0"
"1TR01","1","","2018-11-20","41E","2018-11-01","0",33584,393,1021.8,0.0,0.0,0.01,1021.81,0,0,"0     0"
"1TR0B","1","","2018-11-21","41E","2018-11-01","0",20747,532,1308.72,0.0,0.0,0.01,1308.73,0,0,"0     0"
"1TR0S","1","","2018-11-20","41E","2018-11-22","0",7608,847,2286.9,0.0,0.0,0.01,2286.91,0,0,"0     0"
"1TR26","1","старый счетчик 37962 (95Квт=494грн), новый счетчик 834кВт (000834) сняли 20.11","2018-11-20","41E","2018-11-01","0",834,834,2735.52,0.0,494.0,0.01,3229.53,0,0,"0     0"
"1TR7Z","1","","2018-11-30","41E","2018-11-01","0",19254,974,3165.5,0.0,2.5,0.01,3168.01,0,0,"0     0"
"1TR83","1","","2018-11-30","41E","2018-11-01","0",47914,595,1362.55,0.0,0.0,0.01,1362.56,0,0,"0     0"
"1V1NA","1","","2018-11-30","41E","2018-12-01","0",21848,869,2433.2,0.0,0.0,0.01,2433.21,0,0,"0     0"
"1V1NU","1","","2018-11-30","41E","2018-12-01","0",154353,1468,3699.36,0.0,0.0,0.01,3699.37,0,0,"0     0"
"1TXJ2","1","1000 грн аренда, 2000 грн за мес.включая предоплату","2018-11-23","41E","2018-11-01","0",27661,756,1814.4,53.0,1132.59,0.01,3000.0,0,0,"0     0"
"1V1O2","1","","2018-11-30","41E","2018-12-01","0",74211,1177,3001.35,0.0,0.0,0.01,3001.36,0,0,"0     0"
"1UZHI","1","","2018-11-30","41E","2018-12-01","0",20582,1328,4316.0,22.0,0.0,0.01,4338.01,0,0,"0     0"
"1VKUA","1","","2018-12-01","41E","2018-12-01","0",60800,931,2234.4,0.0,0.0,0.01,2234.41,0,0,"0     0"
"1UZJX","1","","2018-12-01","41E","2018-12-01","0",58805,1300,2147.0,0.0,0.0,0.01,2147.01,0,0,"0     0"
"1UKVF","1","","2018-11-01","41E","2018-11-01","0",52328,2720,7752.0,0.0,60.0,0.01,7812.01,0,0,"0     0"
"1VQ86","1","35 грн вода, потери 289,05грн","2018-12-01","41E","2018-12-01","0",20101,1046,2886.96,289.05,35.0,0.01,3211.02,0,0,"0     0"
"1VQ89","1","165,39 грн банковские услуги","2018-12-01","41E","2018-12-01","0",36740,1050,2898.0,0.0,165.39,0.01,3063.4,0,0,"0     0"
"1VQ8K","1","","2018-12-01","41E","2018-12-01","0",34295,1094,3019.44,303.6,0.0,0.01,3323.05,0,0,"0     0"
"1VQ8M","1","","2018-12-01","41E","2018-12-01","0",15251,906,2500.56,253.92,0.0,0.01,2754.49,0,0,"0     0"
"1VQ8N","1","","2018-12-01","41E","2018-12-01","0",121164,927,2558.52,0.0,0.0,0.01,2558.53,0,0,"0     0"
"1VQ9L","1","предоплата за декабрь 6430,2. +557,27 пдв","2018-12-01","41E","2018-12-01","0",23115,1300,2786.29,0.0,6987.27,0.01,9773.57,0,0,"0     0"
"1VH98","1","","2018-12-10","41E","2018-12-01","0",4394,1963,4495.27,218.12,0.0,0.01,4713.4,0,0,"0     0"
"1VOA3","1","40грн- вода","2018-12-01","41E","2018-12-01","0",52427,2157,5700.0,0.0,487.45,0.01,6187.46,0,0,"0     0"
"1VOA8","1","","2018-12-01","41E","2018-12-01","0",61813,908,2605.96,0.0,0.0,0.01,2605.97,0,0,"0     0"
"1VOAA","1","","2018-12-01","41E","2018-12-01","0",37685,644,2318.4,0.0,0.0,0.01,2318.41,0,0,"0     0"
"1VOB2","1","","2018-12-01","41E","2018-11-01","0",0,955,2579.0,0.0,0.0,0.0,2579.0,0,0,"0     0"
"1VQMZ","1","","2018-12-10","41E","2018-12-01","0",10687,852,2556.0,0.0,0.0,0.01,2556.01,0,0,"0     0"
"1VQN1","1","","2018-12-10","41E","2018-12-01","0",12789,1289,3867.0,0.0,0.0,0.01,3867.01,0,0,"0     0"
"1V1AZ","1","","2018-12-15","41E","2018-12-01","0",4459,1019,3057.0,0.0,0.0,0.01,3057.01,0,0,"0     0"
"1VQNU","1","","2018-12-01","41E","2018-12-01","0",8645,1376,4128.0,0.0,0.0,0.01,4128.01,0,0,"0     0"
"1VQOC","1","","2018-12-01","41E","2018-12-01","0",11966,1300,2990.0,0.0,0.0,0.01,2990.01,0,0,"0     0"
"1VOAS","1","","2018-12-01","41E","2018-12-01","0",48789,875,2003.75,0.0,0.0,0.01,2003.76,0,0,"0     0"
"1V1M8","1","","2018-12-01","41E","2018-12-01","0",66859,1,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"1V1NQ","1","20грн комиссия","2018-12-01","41E","2018-12-01","0",60905,845,2425.15,0.0,20.0,0.01,2445.16,0,0,"0     0"
"1UC8R","1","","2018-11-01","41E","2018-12-11","0",33201,1224,2986.56,0.0,298.66,0.01,3285.23,0,0,"0     0"
"1UZHR","1","","2018-12-01","41E","2018-12-31","0",83857,690,2318.4,0.0,0.0,0.01,2318.41,0,0,"0     0"
"1UZHX","1","200 грн за подключение","2018-12-01","41E","2018-12-01","0",38331,1108,3324.0,0.0,200.0,0.01,3524.01,0,0,"0     0"
"1UZIJ","1","","2018-12-10","41E","2018-12-01","0",33488,785,2276.5,0.0,0.0,0.01,2276.51,0,0,"0     0"
"1UZMU","1","","2018-12-01","41E","2018-12-01","0",49652,765,2295.0,0.0,0.0,0.01,2295.01,0,0,"0     0"
"1VQ59","1","3000 грн за перелимит","2018-12-15","41E","2018-12-01","0",38199,1404,3650.4,0.0,3000.0,0.01,6650.41,0,0,"0     0"
"1VKVT","1","","2018-12-01","41E","2018-12-01","0",20461,672,2016.0,0.0,0.0,0.01,2016.01,0,0,"0     0"
"1UZO2","1","","2018-12-07","41E","2018-12-01","0",42275,889,2835.91,0.0,100.0,0.01,2935.92,0,0,"0     0"
"1VO9S","1","","2018-12-01","41E","2018-12-01","0",40303,588,1764.0,0.0,0.0,0.01,1764.01,0,0,"0     0"
"1VH9Q","1","326 грн - аренда свет","2018-12-01","41E","2018-12-01","0",9140,968,2904.0,0.0,322.0,0.01,3226.01,0,0,"0     0"
"1V1AJ","1","","2018-12-10","41E","2018-12-01","0",32249,1173,3636.3,0.0,150.0,0.01,3786.31,0,0,"0     0"
"1V1AS","1","","2018-12-01","41E","2018-12-01","0",63553,974,2922.0,0.0,0.0,0.01,2922.01,0,0,"0     0"
"1VO9N","1","","2018-12-30","41E","2018-12-01","0",28842,1181,2834.4,88.95,0.0,0.01,2923.36,0,0,"0     0"
"1UXO8","1","","2018-12-20","41E","2018-12-01","0",47252,1123,2863.65,0.0,0.0,0.01,2863.66,0,0,"0     0"
"1V1NF","1","","2018-12-30","41E","2019-01-01","0",22681,833,2332.4,0.0,0.0,0.01,2332.41,0,0,"0     0"
"1UZDY","1","160 грн мусор+250грн охрана+65 грн пож.безоп.+260 уборка+?(40+165)","2018-12-29","41E","2018-12-01","0",57247,833,2790.55,0.0,1189.44,0.01,3980.0,0,0,"0     0"
"1UZE4","1","","2018-12-30","41E","2018-12-01","0",36081,1199,3357.2,50.79,400.0,0.01,3808.0,0,0,"0     0"
"1VO7F","1","","2018-12-20","41E","2018-12-01","0",34848,1264,3207.91,0.0,0.0,0.01,3207.92,0,0,"0     0"
"1UZHK","1","","2018-12-31","41E","2018-12-01","0",22152,1570,5102.5,25.0,0.0,0.01,5127.51,0,0,"0     0"
"1UZHV","1","","2018-12-25","41E","2018-12-01","0",54800,771,2733.2,0.0,0.8,0.01,2734.01,0,0,"0     0"
"1UZIT","1","3500 грн предоплата за январь","2018-12-20","41E","2018-12-01","0",67099,1140,3739.2,493.28,3500.0,0.01,7732.49,0,0,"0     0"
"1UZIY","1","","2018-12-20","41E","2018-12-01","0",21593,846,2081.16,0.0,0.0,0.01,2081.17,0,0,"0     0"
"1UZJ5","1","583кВт по второму счетчику-итого 1922КВт= 6285 грн","2018-12-20","41E","2018-12-01","0",13183,1321,3632.75,0.0,2652.24,0.01,6285.0,0,0,"0     0"
"1VKV9","1","","2019-01-01","41E","2019-01-01","0",14959,827,2348.67,0.0,0.0,0.01,2348.68,0,0,"0     0"
"1VKVA","1","","2019-01-01","41E","2019-01-01","0",49204,800,2272.0,0.0,0.0,0.01,2272.01,0,0,"0     0"
"1UZJE","1","60грн мусор, 1% банк, 10% потери","2018-12-25","41E","2018-12-01","0",35427,1059,2425.11,242.56,86.49,0.01,2754.17,0,0,"0     0"
"1VKVC","1","","2019-01-01","41E","2019-01-01","0",45417,857,2433.87,0.0,0.0,0.01,2433.88,0,0,"0     0"
"1UZJJ","1","","2018-12-20","41E","2018-12-01","0",2082,1248,4093.44,191.46,0.0,0.01,4284.91,0,0,"0     0"
"1UZK4","1","","2018-12-25","41E","2018-12-01","0",38909,913,2282.5,114.0,0.0,0.01,2396.51,0,0,"0     0"
"1UZKL","1","казакевича стар:30329-29680=649*2,4+500=2057,6. петриковка 51507-52338=831*2,4+500=2494 грн. оплачено итого 4551 грн на петриков","2018-12-25","41E","2018-12-01","0",52338,831,1994.4,0.0,2557.06,0.01,4551.47,0,0,"0     0"
"1WE0X","1","","2018-12-28","41E","2018-12-01","0",23389,955,2985.0,0.0,1000.0,0.01,3985.01,0,0,"0     0"
"1UZMZ","1","","2018-12-30","41E","2018-12-01","0",30442,839,3062.35,0.0,0.0,0.01,3062.36,0,0,"0     0"
"1UZN1","1","","2018-12-29","41E","2018-12-01","0",57728,835,2663.65,0.0,0.0,0.01,2663.66,0,0,"0     0"
"1UZN3","1","","2018-12-28","41E","2018-12-31","0",10758,783,2114.1,0.0,500.0,0.01,2614.11,0,0,"0     0"
"1UZN7","1","","2018-12-20","41E","2018-12-01","0",10825,788,2600.4,0.0,0.0,0.01,2600.41,0,0,"0     0"
"1UZN9","1","","2018-12-30","41E","2018-12-01","0",28249,2425,6135.25,0.0,0.0,0.01,6135.26,0,0,"0     0"
"1VQ90","1","30 грн вода, 618,95 -налог на землю, 330 грн мусор,169,86 грн - потери электроэнергии","2018-12-28","41E","2018-12-01","0",44102,804,2395.92,169.86,978.14,0.01,3543.93,0,0,"0     0"
"1UZND","1","300грн охрана, 70 грн смс охраны, 18,21 грн-1% комиссия и НДС 20%","2018-12-25","41E","2018-12-01","0",52439,683,1516.26,0.0,691.0,0.01,2207.27,0,0,"0     0"
"1UZNH","1","1500 грн за 1квартал + 11% потери","2018-12-28","41E","2018-12-01","0",36101,898,2541.34,0.0,1779.76,0.01,4321.11,0,0,"0     0"
"1UZNJ","1","","2018-12-25","41E","2018-12-01","0",28044,1236,2830.44,0.0,0.0,0.01,2830.45,0,0,"0     0"
"1UZNL","1","","2018-12-28","41E","2018-12-01","0",14646,897,2242.5,0.0,600.0,0.01,2842.51,0,0,"0     0"
"1WE41","1","","2018-12-26","41E","2019-01-01","0",3363,1650,4070.0,0.0,0.0,0.0,4070.0,0,0,"0     0"
"1UZNQ","1","300 грн-обслуж сетей,57грн комиссия, потери 145грн","2018-12-17","41E","2018-12-01","0",16242,829,2404.1,145.0,357.0,0.01,2906.11,0,0,"0     0"
"1UZNS","1","","2018-12-28","41E","2018-12-01","0",16940,1384,3183.2,0.0,31.3,0.01,3214.51,0,0,"0     0"
"1UZNV","1","","2018-12-20","41E","2018-12-01","0",26268,1554,4071.48,0.0,0.0,0.01,4071.49,0,0,"0     0"
"1UZNY","1","потери 231грн, 300 грн обслуж линии, 73 грн- комиссия банка","2018-12-17","41E","2018-12-01","0",36698,1262,3659.8,231.0,373.0,0.01,4263.81,0,0,"0     0"
"1UZO4","1","","2018-12-25","41E","2018-12-01","0",8395,1849,4234.21,0.0,0.0,0.01,4234.22,0,0,"0     0"
"1UZO8","1","60грн мусор,1% комиссия банка, 10% потери","2018-12-27","41E","2018-12-01","0",26569,975,2232.75,223.7,84.54,0.01,2541.0,0,0,"0     0"
"1UZOD","1","240грн-мусор, 200 грн уборка,171грн-вода","2018-12-25","41E","2018-12-01","0",6334,1857,5385.29,0.0,611.0,0.01,5996.3,0,0,"0     0"
"1VH9C","1","","2018-12-31","41E","2018-12-01","0",38064,869,2007.39,0.0,0.0,0.01,2007.4,0,0,"0     0"
"1VO9U","1","","2018-12-21","41E","2018-12-01","0",40859,799,2237.2,259.83,0.0,0.01,2497.04,0,0,"0     0"
"1VO9W","1","","2018-12-31","41E","2018-12-01","0",16641,1056,2439.36,207.9,1026.47,0.01,3673.74,0,0,"0     0"
"1VO9Y","1","","2018-12-25","41E","2018-12-01","0",85502,467,1167.5,0.0,0.0,0.01,1167.51,0,0,"0     0"
"1VH9K","1","предоплата за февр 2019г -1461,59 грн","2018-12-23","41E","2019-01-16","0",108206,1285,2955.5,0.0,1461.59,0.01,4417.1,0,0,"0     0"
"1VH9O","1","","2018-12-20","41E","2018-12-01","0",107533,612,2548.37,0.0,0.0,0.01,2548.38,0,0,"0     0"
"1VH9S","1","","2018-12-17","41E","2018-12-01","0",15444,493,1128.97,0.0,7.32,0.01,1136.3,0,0,"0     0"
"1WE4O","1","","2018-12-15","41E","2018-12-01","0",26781,960,2928.0,0.0,0.0,0.01,2928.01,0,0,"0     0"
"1V1AN","1","Предоплата 2186,46. Активная э-энергия: 693,77, за превышение лимита: 693,77. итого 3574грн","2018-12-31","41E","2018-12-01","0",68220,920,1766.4,0.0,1807.59,0.01,3574.0,0,0,"0     0"
"1VQO9","1","","2018-12-31","41E","2018-12-01","0",61995,1195,2891.9,0.0,1500.0,0.01,4391.91,0,0,"0     0"
"1VORN","1","45 грн комиссия банка,","2018-12-30","41E","2018-12-01","0",6991,891,2049.3,0.0,482.25,0.01,2531.56,0,0,"0     0"
"1V1MB","1","комиссия 45.25 грн","2018-12-31","41E","2018-12-01","0",67643,784,1897.28,170.75,45.25,0.01,2113.29,0,0,"0     0"
"1V1N0","1","","2018-11-29","41E","2018-12-01","0",60710,1052,2914.04,0.0,1048.85,0.01,3962.9,0,0,"0     0"
"1WAGQ","1","","2018-12-31","41E","2019-01-01","0",17875,1344,3104.64,0.0,2304.35,0.01,5409.0,0,0,"0     0"
"1WAJ7","1","","2018-12-31","41E","2019-01-01","0",37199,1098,2964.0,326.55,0.0,0.01,3290.56,0,0,"0     0"
"1WDN3","1","300 обслуж ссетей, 165 потери, 57 комиссия банка","2019-01-15","41E","2019-01-01","0",17057,815,2689.5,165.0,357.0,0.01,3211.51,0,0,"0     0"
"1WE01","1","300 обслуж, 330 потери, 99 комиссия банк","2019-01-15","41E","2019-01-01","0",38109,1411,4656.3,330.0,399.0,0.01,5385.31,0,0,"0     0"
"1WE0J","1","1500 ар.света","2019-01-01","41E","2019-01-01","0",63178,1183,2862.86,0.0,1500.0,0.01,4362.87,0,0,"0     0"
"1VQ5R","1","500 грн за кабель","2019-01-03","41E","2019-01-01","0",2299,1041,3123.0,0.0,500.0,0.01,3623.01,0,0,"0     0"
"1VKW4","1","","2019-01-15","41E","2019-01-01","0",21325,864,2592.0,0.0,0.0,0.01,2592.01,0,0,"0     0"
"1WHNK","1","","2019-01-01","41E","2019-01-01","0",21664,1563,4532.7,453.27,0.0,0.01,4985.98,0,0,"0     0"
"1WHNT","1","","2019-01-01","41E","2019-01-01","0",37773,1033,3099.0,154.95,0.0,0.01,3253.96,0,0,"0     0"
"1WHOC","1","","2019-01-01","41E","2019-01-01","0",35384,1089,3158.1,315.9,0.0,0.01,3474.01,0,0,"0     0"
"1VOAE","1","","2019-01-01","41E","2018-12-01","0",75046,835,2129.25,0.0,0.0,0.01,2129.26,0,0,"0     0"
"1WHOJ","1","","2019-01-01","41E","2019-01-01","0",16405,1154,3346.6,304.66,0.0,0.01,3651.27,0,0,"0     0"
"1WHOP","1","","2019-01-01","41E","2019-01-01","0",122233,1069,3100.1,0.0,0.0,0.01,3100.11,0,0,"0     0"
"1WHP5","1","2021,2 грн за два месяца предоплата","2019-01-01","41E","2019-01-01","0",0,1500,4042.4,0.0,0.0,0.01,4042.41,0,0,"0     0"
"1W8V4","1","","2019-01-01","41E","2019-01-01","0",84317,460,1545.6,0.0,0.0,0.01,1545.61,0,0,"0     0"
"1W8VV","1","","2019-01-10","41E","2019-01-01","0",6317,1923,4403.67,322.32,0.0,0.01,4726.0,0,0,"0     0"
"1W8XJ","1","1500 - 500 грн Кожемяки, 500 грн за Ясень, 500 грн - за Брусничку","2019-01-10","41E","2019-01-01","0",39682,1351,4053.0,0.0,1500.0,0.01,5553.01,0,0,"0     0"
"1W8XW","1","","2019-01-09","41E","2019-01-01","0",34276,788,2679.2,0.0,0.0,0.01,2679.21,0,0,"0     0"
